identifier,from,to,library,link,contents,schema,schema-location,anthol-lat-485c,anthol-lat-668,anthol-lat-719c,anthol-lat-806,suetonius-vita,ps-vacca-vita,prose-argumentum,scholia
Cod. 308 HAN MAG,,,ONB,http://data.onb.ac.at/rec/AC13974385,,,,,,,,,,,
Cod. 26 HAN MAG,1375,1399,ONB,http://data.onb.ac.at/rec/AC13948451,,,,,yes,,,,,,
Cod. Ser. n. 3803 HAN MAG,1300,1399,ONB,http://data.onb.ac.at/rec/AC14399888,fragments,,,,,,,,,,
Cod. 311 HAN MAG,,,ONB,http://data.onb.ac.at/rec/AC13977890,,,,,,,,,,,
Cod. 137 HAN MAG,1150,1199,ONB,http://data.onb.ac.at/rec/AC13951254,,,,,,,,,,,
Cod. 194 HAN MAG,,,ONB,http://data.onb.ac.at/rec/AC13974531,,,,,,,,,,,
Cod. 264 HAN MAG,,,ONB,http://data.onb.ac.at/rec/AC13974047,,,,,,,,,,,
Cod. 13816 HAN MAG,1300,1399,ONB,http://data.onb.ac.at/rec/AC13947347,,,,,,,,,,,
Cod. 268 HAN MAG,1300,1399,ONB,http://data.onb.ac.at/rec/AC13951104,,,,,,,,,,,
Cod. 100 HAN MAG,,,ONB,http://data.onb.ac.at/rec/AC13951129,,,,,yes,,,,,,
Cod. 46 HAN MAG,1400,1499,ONB,http://data.onb.ac.at/rec/AC13950795,,,,,yes,,,,,,
BUR Q 1,,,Leiden University Libraries,http://hdl.handle.net/1887.1/item:4228675,,,,,yes (6 lines),,,,,,yes
VLF 63,,,Leiden University Libraries,http://hdl.handle.net/1887.1/item:4228675,,yes,p271,,no?,,,,,yes (books 2; 3; etc?),yes
VLO 17,,,Leiden University Libraries,http://hdl.handle.net/1887.1/item:4148509,,,,,yes,,,,,,no
VLQ 16,,,Leiden University Libraries,http://hdl.handle.net/1887.1/item:4242716,1.248-end,yes,79r; 136r,,,,,,,,
BUR Q 2,,,Leiden University Libraries,http://hdl.handle.net/1887.1/item:3751072,,yes,13v,,,,,,,,yes
VLQ 51,,,Leiden University Libraries,http://hdl.handle.net/1887.1/item:4155978,,yes,79r; 84v; 138r,,yes (6 lines),,,,,,yes
VLQ 81,,,Leiden University Libraries,http://hdl.handle.net/1887.1/item:4152412,,yes,,,yes (4 lines),,,,,,no
VLO 30,,,Leiden University Libraries,http://hdl.handle.net/1887.1/item:4146929,,yes,18r,,,,,,,"yes (book 7, 8, 9...)",yes
GRO 17,,,Leiden University Libraries,http://hdl.handle.net/1887.1/item:3757845,fragments,,,,,,,,,,no
VLQ 33,,,Leiden University Libraries,http://hdl.handle.net/1887.1/item:4159085,fragments (2.380-391),,,,,,,,,,
BPL 191 A,,,Leiden University Libraries,http://hdl.handle.net/1887.1/item:1684869,no,,,,,,,,,,yes
MSS/1573,,,BNE (Spain),https://bdh-rd.bne.es/viewer.vm?id=0000120704&page=1,,,,,yes (4 lines),,,,,,yes
MSS/601,,,BNE (Spain),https://bdh-rd.bne.es/viewer.vm?id=0000125709&page=1,,,,,yes (4 lines),,,,,,no
MSS/3898,,,BNE (Spain),https://bdh-rd.bne.es/viewer.vm?id=0000048630&page=1,,yes,p.38,,,,,,,,no
MSS/14717,,,BNE (Spain),https://bdh-rd.bne.es/viewer.vm?id=0000060209&page=1,,,,,yes (4 lines),,,,,,yes
MSS/10061,,,BNE (Spain),https://bdh-rd.bne.es/viewer.vm?id=0000059675&page=1,,yes,p.73,,yes (4 lines),,yes,,,,no
